date,campaign,impressions,clicks,spend,conversions,platform
2025-01-15,Winter_Sale,50568,472,244.49,11,Facebook
2025-01-16,Winter_Sale,50695,398,190.1,8,Facebook
2025-01-17,Winter_Sale,49522,549,266.85,12,Facebook
2025-01-18,Winter_Sale,48418,524,261.36,14,Facebook
2025-01-19,Winter_Sale,51561,533,237.39,12,Facebook
2025-01-15,Retargeting,51099,1124,550.79,23,Facebook
2025-01-16,Retargeting,48779,988,478.02,22,Facebook
2025-01-17,Retargeting,48502,1093,493.48,29,Facebook
2025-01-18,Retargeting,48804,1071,559.61,23,Facebook
2025-01-19,Retargeting,50773,1035,506.62,26,Facebook
2025-01-15,Cold_Audience,50660,365,182.03,7,Facebook
2025-01-16,Cold_Audience,49028,253,130.68,5,Facebook
2025-01-17,Cold_Audience,48397,203,99.86,4,Facebook
2025-01-18,Cold_Audience,48206,217,99.9,4,Facebook
2025-01-19,Cold_Audience,50939,237,104.78,5,Facebook
