date,campaign,impressions,clicks,spend,conversions,platform
2025-01-15,B2B_Enterprise,11317,243,202.7,11,LinkedIn
2025-01-16,B2B_Enterprise,12257,192,156.96,8,LinkedIn
2025-01-17,B2B_Enterprise,12850,202,177.39,9,LinkedIn
2025-01-18,B2B_Enterprise,12495,213,205.65,8,LinkedIn
2025-01-19,B2B_Enterprise,12853,206,171.93,9,LinkedIn
2025-01-15,Lead_Gen,12291,165,150.2,7,LinkedIn
2025-01-16,Lead_Gen,12410,120,111.13,5,LinkedIn
2025-01-17,Lead_Gen,11951,128,106.73,5,LinkedIn
2025-01-18,Lead_Gen,11001,133,122.38,6,LinkedIn
2025-01-19,Lead_Gen,11854,184,157.64,8,LinkedIn
